element,negpeak,pospeak,searchwidth,peakwidth,kfactor,mass,integpeak,lower1,lower2,upper1,upper2,kfactor2,peakshift,fittype,integwidth,siglevel,comments
Si1,94,79,6,15,1.83,28.09,,,,,,,,,,,0.49 relative to Si2
S,154,147,6,6.6,0.72,32.07,-3.7,-20,-11,8,15,0.767,3,cubic,9,5,derived from craters?
Cl,186,179,6,7,1,35.45,,,,,,,,,,,??
C,276,252,6,24.1,0.92,12.01,,,,,,,,,,,PHI value?
Ca,296,288,6,7,3.06,40.08,-5,-15,-11,11,16,2.483,0,Carefit,9,30,derived from craters?
O,513,505,6,7.6,1.23,16,,,,,,,,,,,PHI value?
Fe1,600,582,6,18.3,5.95,55.85,,,,,,,,,,,derived from craters
Fe2,654,642,6,12.6,4.27,55.85,-6.8,-30,-25,14,17,2.077,3,cubic,9,5,derived from craters
Fe,707,697,6,9.9,3.91,55.85,-4.8,-25,-19,15,24,2.239,4,line,9,5,derived from craters
Mg,1185,1180,6,6.8,1,24.31,-3.3,-28,-18,10,25,1,4,line,9,5,normalization const
Al,1390,1384,6,7,1.1,26.98,,,,,,,,,,,PHI value?
Si,1614,1603,10,10,3.74,28.09,-4.6,-30,-16,17,25,1.959,3,line,13,2.5,derived from craters
N,387,374,6,13,1,14,,,,,,,,,,,??
Ti,389,379,6,10,1,47.88,,,,,,,,,,,??
Ti2,422,415,6,7,1,47.88,,,,,,,,,,,??
V,440,,,,,50.94,,,,,,,,,,,
V2,475,,,,,50.94,,,,,,,,,,,
Mn,592,,,,,54.94,,,,,,,,,,,
Cs,573,566,6,7,1,132.91,,,,,,,,,,,??
Cs2,561,552,6,9,1,132.91,,,,,,,,,,,??
Cs0,49,,,,,132.91,,,,,,,,,,,
Na,966,957,6,9,1,22.99,,,,,,,,,,,??
